@relation 'generators.SEAGenerator -b'

@attribute attrib1 numeric
@attribute attrib2 numeric
@attribute attrib3 numeric
@attribute class {groupA,groupB}

@data
6.237395,4.928217,6.857754,groupA
2.483236,3.452267,7.460431,groupA
5.609328,6.563109,8.311318,groupB
0.719806,3.978023,0.49704,groupB
3.92512,7.405157,8.092379,groupA
3.599029,0.245191,8.071493,groupA
8.992978,3.536363,3.308304,groupB
2.112057,1.198445,6.906834,groupA
1.02337,8.649744,4.282466,groupB
0.278477,5.421323,8.92848,groupB
7.885088,8.057148,3.748311,groupB
0.284998,5.017284,6.867916,groupB
6.817296,1.444561,7.966724,groupB
1.408073,1.634632,3.028244,groupA
6.143934,2.553061,6.475025,groupB
6.041642,1.076574,1.119101,groupA
7.78307,8.533544,4.408714,groupB
5.986477,0.430788,6.589932,groupA
8.792409,2.48336,0.265839,groupB
1.474735,1.235401,0.751663,groupA
9.22086,2.896887,4.737909,groupB
4.011179,0.959473,4.03795,groupA
7.72525,2.940666,8.473338,groupB
1.233661,4.259137,9.2952,groupA
3.728769,5.294581,3.047893,groupB
5.788497,1.608914,4.202677,groupA
8.815025,8.013543,5.167207,groupA
0.792495,4.824366,9.247608,groupA
6.228989,4.835968,0.369912,groupB
5.336465,1.32041,7.366065,groupA
5.619823,8.402852,1.154775,groupB
2.419969,0.894352,6.863722,groupA
6.602065,1.593197,7.019029,groupB
1.426094,4.234401,8.580614,groupA
6.617667,2.285714,7.325224,groupB
2.502227,3.863102,2.679617,groupA
2.991124,5.219082,1.799397,groupB
1.656573,4.068141,2.743481,groupA
3.718288,8.731544,2.583898,groupA
6.375903,0.128015,8.760045,groupA
4.964609,3.12063,2.051207,groupB
1.52497,1.683152,7.996306,groupA
6.859567,8.669692,4.76505,groupB
1.445456,5.12215,2.776842,groupA
3.541995,9.498694,1.958157,groupB
3.050265,3.320947,4.075934,groupA
5.936988,6.37103,5.528251,groupB
3.869902,2.504026,2.108412,groupA
8.248454,7.345335,5.608192,groupB
2.479983,3.700667,4.697907,groupB
7.90077,4.354714,8.851784,groupB
0.303626,1.177706,5.057751,groupA
4.582536,5.152365,8.619464,groupA
1.086381,3.236448,4.761437,groupA
7.57702,8.572974,2.829477,groupB
5.035283,2.342681,2.089139,groupA
9.21648,0.728586,4.372824,groupB
6.236193,0.912655,7.357556,groupA
6.296814,7.82653,5.762566,groupB
5.29126,0.320094,0.248256,groupA
5.270611,9.732466,7.16328,groupB
0.839915,1.262991,8.336125,groupA
9.189493,7.886022,5.878827,groupB
5.546819,0.796522,6.440688,groupA
8.487634,2.61079,3.360458,groupB
0.957589,1.729434,9.137329,groupA
3.090489,5.652879,7.298582,groupB
7.105314,0.733995,3.155931,groupA
4.000892,5.342474,7.97843,groupB
2.11147,3.979691,0.350537,groupA
5.937489,5.377704,9.283523,groupB
1.269938,2.697929,5.79157,groupA
8.521722,5.861149,7.225656,groupB
1.354909,6.330764,2.884545,groupA
0.469933,8.492307,0.586246,groupB
2.236611,4.820413,4.216367,groupA
6.573821,8.636546,4.236334,groupB
1.724435,2.045461,0.784783,groupA
8.29599,4.37514,1.69112,groupB
1.716123,2.969074,2.587839,groupA
6.554564,5.023404,9.109429,groupB
2.755557,0.812272,7.179529,groupB
9.615852,7.525146,0.040256,groupB
0.013935,7.55983,1.91792,groupB
4.40215,3.829534,2.2585,groupB
1.10325,3.305954,7.402802,groupA
1.267114,7.447431,5.889473,groupB
3.495816,1.922379,0.452169,groupA
6.439872,1.831201,0.003213,groupB
1.841577,1.448529,4.555826,groupA
8.288205,4.061584,7.606059,groupB
1.2407,3.003312,6.764126,groupA
7.936455,4.876465,9.252633,groupB
3.89802,1.755758,0.269705,groupA
7.002408,2.172265,3.235748,groupB
0.320969,5.822833,2.476549,groupA
5.938742,9.001501,6.14791,groupA
1.449952,5.450233,7.738712,groupA
8.341383,4.810568,8.977771,groupB
2.072651,2.851559,1.934957,groupA
8.857193,4.347159,9.82308,groupB
5.547849,2.421878,4.928598,groupA
6.2663,9.62524,8.845813,groupB
4.729821,3.037412,9.433728,groupA
6.563353,1.653466,7.66874,groupA
1.372753,2.22678,7.448289,groupA
2.495907,8.537685,5.225362,groupB
6.534166,1.147693,0.541021,groupA
1.877057,6.333596,9.213788,groupB
1.326075,3.754836,6.121662,groupA
6.83504,8.436905,3.028451,groupB
5.256122,2.305531,3.18063,groupB
6.536261,4.257126,8.966816,groupB
0.661935,0.901893,9.621221,groupA
8.567708,6.60436,3.969475,groupA
0.576605,6.935736,2.247693,groupB
6.848231,8.197568,7.599699,groupB
5.18696,2.158174,9.75389,groupA
0.04632,9.472973,2.358929,groupB
1.093979,5.587997,5.678331,groupA
7.465075,2.87596,7.916308,groupB
0.946326,1.377818,6.338394,groupA
4.727796,7.295083,9.47864,groupB
2.601682,0.986035,7.90858,groupA
1.629073,9.822846,0.024389,groupB
7.498232,0.254828,4.710487,groupA
8.266779,2.045459,6.183471,groupB
4.115824,2.976044,7.744053,groupB
5.650529,4.326774,5.658785,groupB
1.080333,1.552893,5.705668,groupA
9.840544,4.363967,0.131955,groupB
1.176446,6.521425,7.066191,groupA
5.226693,5.04392,7.968331,groupB
6.961119,0.398684,1.641398,groupA
5.335841,7.009405,1.90592,groupB
4.207109,1.569558,4.410981,groupA
2.692963,9.760943,5.688531,groupB
5.715989,0.117134,8.011796,groupA
8.302982,2.798831,5.979936,groupB
1.269351,4.478229,3.243535,groupB
6.817623,8.946351,6.973705,groupB
1.706067,5.405265,5.559919,groupA
9.192287,5.417479,5.127865,groupB
1.895316,4.782011,6.208179,groupB
4.810939,4.038024,8.69379,groupB
0.42984,5.769811,7.66372,groupB
7.905588,2.110234,2.514943,groupB
2.984106,0.308668,8.921677,groupA
5.37526,8.773439,1.551794,groupB
0.781068,5.473697,1.514004,groupA
7.461205,9.451827,9.892713,groupB
0.953112,0.336419,8.871104,groupA
4.991688,8.974247,6.170647,groupB
0.298605,6.940708,3.511505,groupA
7.879443,3.147979,3.672324,groupB
0.964437,0.496138,3.116248,groupA
4.907877,6.541398,8.001484,groupB
1.664561,1.24517,0.953635,groupA
8.703819,6.369106,7.6546,groupB
6.532967,1.246343,6.25814,groupA
0.90189,8.661252,3.784693,groupB
4.704699,0.662484,9.217764,groupA
3.012945,5.5904,0.66822,groupB
2.022117,3.305582,6.128032,groupA
0.608422,8.338112,5.088491,groupB
4.353089,2.797856,4.572813,groupB
5.707287,7.258064,3.877981,groupB
2.793854,1.060756,4.076799,groupA
8.596402,3.497254,4.455429,groupB
0.072323,4.709402,7.347964,groupA
8.355684,4.200259,9.733156,groupB
1.965002,0.935061,7.576163,groupA
6.158402,5.93804,6.183071,groupB
1.384188,0.10864,0.137266,groupA
8.867591,3.483247,5.227792,groupB
1.511363,5.225369,7.204564,groupA
5.499851,5.120633,2.982353,groupB
3.509351,2.954725,7.824724,groupA
8.959066,3.922024,9.48573,groupB
1.548635,1.512261,5.472479,groupA
6.783883,1.803737,3.735388,groupB
2.744015,2.395468,9.001177,groupA
3.440538,7.455175,4.701447,groupB
1.325921,4.134686,4.28152,groupA
5.252381,7.979772,4.193805,groupB
4.140135,0.936843,3.796703,groupA
9.893438,3.662771,8.898607,groupB
1.811237,0.285646,3.640139,groupA
7.469953,8.947444,7.477368,groupB
1.261263,2.160246,5.915542,groupA
5.582645,5.423426,6.678483,groupB
6.208893,1.433356,1.016555,groupB
5.695253,2.658293,0.534381,groupB
4.295459,1.899407,4.584421,groupA
8.166104,7.042356,9.219865,groupB
2.309412,4.617066,8.992348,groupA
5.281653,3.681532,3.25265,groupB
4.315789,1.24724,1.822082,groupA
7.532098,9.184191,5.937319,groupB
3.545687,3.386648,3.535963,groupA
8.323952,8.897014,2.54783,groupB
2.10849,5.611336,7.577827,groupA
6.528496,7.173985,8.615153,groupA
0.140531,6.141382,1.662107,groupA
5.891012,3.764753,9.345143,groupB
1.178417,3.169065,8.993525,groupA
5.651199,7.834498,9.157045,groupB
4.002598,1.51899,6.26706,groupA
5.185838,8.585025,9.826011,groupB
4.554858,1.475904,9.124593,groupA
6.336712,4.596085,4.666182,groupB
1.948945,4.921787,4.091206,groupA
5.835021,2.337648,8.245249,groupB
3.234776,0.863381,0.017406,groupA
5.35525,8.71281,6.366242,groupA
2.514298,2.432267,2.196084,groupA
5.905585,8.435833,1.378639,groupB
2.569619,4.831219,9.780709,groupA
6.591096,1.951862,7.016939,groupB
4.826753,1.344763,8.893209,groupA
9.711983,9.149202,4.031415,groupB
2.560526,4.704219,9.717666,groupA
5.612763,8.691145,5.869147,groupB
1.532982,6.054458,0.920073,groupA
9.389667,9.327604,6.3174,groupB
1.659447,4.082987,3.517784,groupA
5.438582,8.397434,1.61845,groupB
1.548591,0.241476,6.089165,groupA
9.993209,4.155968,9.009978,groupB
3.516559,4.394421,9.542141,groupA
8.488098,6.34293,6.036953,groupB
4.503208,3.345659,9.837236,groupA
4.40873,4.574404,2.373422,groupA
4.559892,2.285036,4.475059,groupA
9.167701,1.731361,4.61237,groupB
0.132999,7.60523,5.912798,groupA
4.295705,4.634051,0.730833,groupB
0.16756,1.518664,6.518035,groupA
1.948395,9.483418,7.889225,groupB
1.957111,3.393757,2.28815,groupB
4.587451,5.728878,6.953446,groupB
3.072965,1.94649,5.586823,groupA
6.104551,8.61314,9.615887,groupB
2.385895,3.082594,3.32603,groupA
6.645913,7.053439,2.642777,groupB
0.413285,3.921889,9.840065,groupB
7.138699,3.87307,1.151316,groupB
0.003141,4.255035,3.262357,groupA
2.041851,9.227583,0.195294,groupB
7.268263,0.557629,5.837753,groupA
7.844596,1.642877,7.775283,groupB
2.99094,4.491919,1.841702,groupA
8.706674,9.625725,4.450345,groupB
5.796217,1.257744,9.66027,groupB
6.108158,8.637491,8.092436,groupB
1.695951,4.31178,4.914944,groupA
9.688612,5.018699,5.239407,groupB
3.84569,1.679786,6.548562,groupA
0.229903,9.98078,9.790083,groupB
5.670558,1.417123,4.017799,groupA
9.784511,8.565633,4.848725,groupB
1.346245,5.043341,8.216473,groupA
9.103013,7.23989,6.481145,groupB
3.84337,3.495475,0.431164,groupA
5.697442,9.431079,4.31772,groupB
5.401605,0.397591,0.634498,groupA
6.527521,5.724682,1.268256,groupB
1.079625,1.080282,0.120269,groupA
3.521731,9.991399,1.926853,groupB
1.74323,5.460714,5.123925,groupA
8.758851,9.961982,1.205797,groupB
7.158625,0.702423,0.168352,groupA
1.917681,6.486401,4.961887,groupB
1.802931,5.429172,0.166101,groupA
9.470013,2.86423,9.360889,groupB
6.333718,1.467368,4.924341,groupA
8.694756,4.100267,3.615938,groupA
4.732292,0.258093,0.228839,groupA
9.198871,3.65149,1.111112,groupB
0.956453,4.420397,3.346732,groupA
3.622156,8.074345,1.059302,groupA
1.099368,4.255594,0.758184,groupA
8.41055,9.964095,3.554457,groupB
1.886714,0.828133,4.353186,groupA
3.907791,4.250707,8.024003,groupB
5.747145,1.897832,5.994242,groupA
4.075084,9.827461,6.121321,groupB
2.696606,0.872457,6.242094,groupA
4.999475,8.441199,1.37542,groupB
5.143378,2.418795,2.968713,groupA
9.969679,5.929213,0.393514,groupB
2.473768,2.019866,7.792891,groupA
5.18417,9.986233,8.371391,groupB
0.390408,0.115367,3.791096,groupA
9.683022,1.885648,6.80665,groupB
0.394812,5.795075,6.599685,groupA
2.23411,7.483138,7.023854,groupB
3.089495,4.097929,9.886885,groupA
8.34925,9.433683,7.218519,groupB
5.958638,0.755488,9.69271,groupA
7.385639,8.032288,4.930376,groupB
5.746827,0.566081,4.940604,groupA
4.36145,5.112676,3.726219,groupB
0.353426,1.780979,9.623121,groupA
8.948775,0.763349,6.008867,groupA
2.470786,2.45419,5.959562,groupA
6.378671,4.337459,4.106307,groupB
3.154224,1.519077,4.475133,groupA
6.826096,9.490296,8.142715,groupB
5.993576,0.180324,6.338553,groupA
1.279205,7.086929,6.76938,groupB
0.864089,2.994945,5.135372,groupA
8.583837,6.119156,1.351846,groupB
2.029136,5.138914,3.983368,groupA
7.730229,0.288708,1.196129,groupB
3.698062,3.402213,1.313928,groupA
3.536662,4.567841,5.943358,groupB
4.612933,1.183295,0.697903,groupA
8.323166,6.23928,9.662049,groupB
0.59399,4.73894,3.925887,groupA
6.723911,8.467595,2.421539,groupB
0.586655,6.731912,5.255517,groupA
8.136572,6.622377,0.800309,groupB
4.155181,1.5624,4.003458,groupA
3.986513,6.201839,0.033489,groupB
0.207474,5.054914,3.226054,groupA
8.708611,7.98326,0.302396,groupB
0.104862,1.930965,0.314251,groupA
8.751966,8.092491,8.551977,groupB
5.013683,0.812481,8.924678,groupA
4.099422,9.667811,3.021976,groupB
3.855597,3.15158,4.258943,groupA
7.899349,1.506622,4.511097,groupB
0.676839,1.399738,9.599012,groupA
7.358487,2.971825,9.833917,groupB
5.396068,2.13539,4.1569,groupA
5.619534,9.582252,3.476107,groupB
4.84749,2.149248,5.54312,groupA
9.916282,1.627899,6.027272,groupB
1.934458,4.388436,2.178352,groupA
8.34083,7.086222,3.648398,groupB
3.668402,1.922609,9.637035,groupA
5.728516,8.965925,7.642755,groupB
3.156656,0.662304,1.037875,groupA
9.650358,4.130183,7.785387,groupB
3.124439,0.702583,4.114362,groupA
3.6635,9.153685,1.930881,groupB
0.467234,2.116561,4.458178,groupA
8.64887,0.426993,4.292565,groupB
0.034449,7.213049,5.192066,groupA
8.000745,8.000696,2.645737,groupB
5.294727,1.089284,4.401316,groupA
9.858891,8.821059,5.375764,groupB
0.276622,4.790213,2.874709,groupA
5.038152,6.323986,9.204073,groupB
0.353691,1.825552,3.416824,groupA
1.989102,9.681536,6.719995,groupB
1.793924,1.690935,6.315379,groupB
6.864225,8.091581,8.524282,groupB
1.245299,1.269989,6.770842,groupA
3.182903,7.862981,4.462573,groupB
0.929099,0.093057,0.695906,groupA
5.81276,4.537136,8.489559,groupB
3.774687,2.814151,5.582673,groupB
3.424661,5.841147,4.270021,groupB
0.944902,3.649558,3.061039,groupA
7.221473,6.176305,1.688369,groupB
0.42988,1.104129,0.396906,groupA
7.063413,8.083132,8.032652,groupB
6.186874,0.176451,9.888885,groupB
8.814025,5.248266,6.233681,groupB
5.02324,2.384762,8.496191,groupA
6.682458,6.559887,7.244942,groupB
3.219045,0.041237,7.671469,groupA
9.654101,6.537777,7.277642,groupB
1.369583,5.158587,1.744637,groupA
6.865294,3.15605,4.105456,groupA
2.746957,1.552267,2.997353,groupA
5.095132,6.050985,3.164673,groupB
2.660847,5.334631,8.936347,groupA
9.42302,8.004939,1.715177,groupB
2.368326,2.719447,4.77812,groupA
6.038103,4.745998,2.101521,groupB
0.902336,3.788524,4.313914,groupA
5.620152,3.822831,0.528071,groupB
1.052272,6.933192,0.65875,groupA
8.72652,3.166114,2.20248,groupB
4.617352,2.048215,7.498861,groupA
9.542038,5.931029,8.274875,groupB
6.421761,1.100085,7.812541,groupA
1.320105,7.740235,8.38718,groupB
6.153999,0.861922,1.154875,groupA
1.450067,7.007501,7.483313,groupB
3.245798,0.599973,6.795999,groupB
6.159251,7.403154,4.713928,groupB
3.062397,1.156689,1.391049,groupA
4.991652,6.255639,3.712805,groupB
3.615826,1.01866,9.376874,groupA
5.612338,5.096836,6.031555,groupB
5.446679,0.768732,0.941639,groupA
5.333849,6.207819,1.749087,groupB
0.373366,6.745015,9.932941,groupA
8.051819,3.755359,5.965582,groupA
1.560246,6.418048,5.026196,groupA
6.07104,4.116063,8.631745,groupB
5.094639,2.547093,9.686967,groupA
0.853238,8.413318,8.444222,groupB
6.666114,0.746676,4.190601,groupA
9.918699,7.572177,9.929591,groupB
4.879795,1.676987,3.03181,groupA
9.830206,0.221116,0.138583,groupB
0.481862,2.681753,6.238736,groupA
9.211347,0.183474,4.871025,groupB
4.27692,0.511071,4.640541,groupA
4.565069,4.188452,5.670743,groupB
2.505916,5.049269,5.495934,groupA
8.238221,8.008555,0.30595,groupA
7.311485,0.320583,1.653494,groupA
8.985773,8.189972,9.482979,groupB
3.628523,0.75511,3.58548,groupA
8.723704,8.638016,9.679957,groupB
1.057911,2.332082,4.464006,groupA
3.585263,7.446153,9.920535,groupB
3.193046,2.882343,2.941128,groupB
8.995297,7.709279,9.246114,groupB
3.564753,1.243201,0.128482,groupA
7.379435,4.383965,8.979057,groupB
5.752869,2.172158,3.776472,groupA
9.18996,8.853726,2.08751,groupB
1.094058,0.157594,2.910262,groupA
3.581733,8.284,9.334746,groupB
0.927403,5.916344,2.6364,groupA
9.519342,6.422913,5.474475,groupB
2.196447,2.418933,3.929172,groupA
8.873047,8.397041,9.804808,groupB
2.235646,4.530144,5.619868,groupA
7.715958,9.839206,0.236832,groupB
6.190153,1.252875,3.515487,groupB
9.743117,9.315495,9.850264,groupB
3.3265,0.202604,8.030341,groupA
4.293565,5.933155,3.505446,groupB
6.422211,1.572919,2.473583,groupA
8.838644,5.214876,3.267152,groupB
4.401479,0.39343,2.259564,groupA
8.392302,5.275455,9.332129,groupA
2.325216,1.802353,3.178897,groupA
1.162761,7.403166,3.324484,groupB
5.191966,0.069015,1.736842,groupA
9.728005,1.511137,6.897243,groupA
1.763708,2.265504,6.955383,groupB
7.589986,0.53954,8.685028,groupB
5.853345,0.643156,8.161531,groupA
3.077286,5.051445,9.463257,groupB
0.290313,3.867179,0.959517,groupB
5.504358,4.771347,4.851537,groupB
2.025389,4.01328,2.627411,groupA
3.891112,8.222117,1.71786,groupB
5.518481,0.896671,5.047893,groupA
3.018401,9.487376,9.147599,groupB
1.693873,4.085399,2.475642,groupB
6.601646,7.821534,6.962567,groupB
3.082592,1.511071,6.667388,groupA
5.418221,4.135229,8.524573,groupB
2.287998,3.613401,4.918879,groupA
8.469953,1.028734,3.877198,groupB
0.888406,5.627453,4.254942,groupA
5.406098,4.224769,1.995616,groupB
0.175997,1.480328,5.652692,groupA
6.966974,4.021502,5.499879,groupA
0.922938,3.046252,2.453178,groupA
4.05406,8.559828,9.736242,groupB
0.485293,7.467545,7.979535,groupA
4.119961,6.053318,2.528407,groupA
4.285924,2.961943,9.80441,groupB
3.020652,9.897699,3.93913,groupB
2.903807,1.195496,1.985578,groupB
7.155935,3.351255,6.594013,groupB
0.774143,4.962751,6.71949,groupA
9.298044,8.280161,7.579954,groupB
5.263757,0.847353,3.770053,groupA
8.366811,6.745941,6.914488,groupB
3.62273,0.421168,3.557731,groupA
1.414891,8.799168,9.313942,groupB
3.967756,3.702455,2.917428,groupA
9.647093,7.202377,9.937732,groupB
3.410374,2.716727,4.660499,groupA
5.436277,4.912069,5.140253,groupB
0.544957,6.225875,4.538889,groupA
9.150814,9.400282,0.518127,groupB
4.814418,1.035194,9.820159,groupA
7.5529,2.22735,1.201324,groupB
0.236606,2.00068,6.073108,groupA
7.904967,8.16037,9.064631,groupB
2.604999,1.142006,9.04855,groupA
3.66883,7.574175,9.785075,groupB
0.35148,5.401387,8.578855,groupA
0.516342,7.815097,4.051762,groupB
4.593667,0.473955,4.687965,groupB
5.742294,9.541169,7.344613,groupB
3.450849,1.824861,6.409979,groupA
4.57482,7.161194,0.407008,groupB
2.757497,4.018848,7.550737,groupA
9.714521,3.379467,7.923216,groupB
5.042123,2.575334,5.29948,groupA
4.20626,6.390575,3.252313,groupB
0.576529,3.806274,5.537654,groupA
9.82149,1.055205,4.041298,groupA
0.190953,0.8561,0.669976,groupA
3.394567,7.014204,3.951021,groupB
4.628163,2.302772,2.460444,groupB
1.181652,9.593623,1.115415,groupB
4.451789,0.993178,1.675578,groupA
6.645889,7.088013,7.650044,groupB
1.238441,0.236378,2.251865,groupA
9.572655,0.361418,0.41493,groupB
5.544262,2.403134,3.098956,groupA
6.688494,5.199897,1.595055,groupB
0.500977,1.168541,6.293225,groupA
3.842608,7.881804,3.633979,groupB
4.767852,2.396443,2.333028,groupA
7.58599,5.815552,4.04275,groupB
0.903352,0.174223,9.427775,groupA
5.687356,6.552235,4.090104,groupB
1.340929,3.112369,9.257051,groupA
9.003131,7.350243,6.444573,groupB
6.459123,1.069791,0.413373,groupA
8.284399,9.547557,1.272789,groupB
5.572666,1.812848,7.125457,groupA
8.509502,9.255065,0.639184,groupB
0.90601,2.058124,9.426414,groupA
8.444872,6.440605,2.631062,groupB
5.466491,0.807075,3.964272,groupA
5.317573,9.692103,2.327827,groupB
1.151067,3.460968,8.249121,groupA
9.244526,3.567007,1.417077,groupB
5.178581,0.793962,1.20845,groupA
8.467536,6.971014,2.429144,groupB
1.476049,0.665606,4.62699,groupA
1.632396,8.464552,4.53996,groupB
4.469019,2.38168,1.351779,groupA
9.659423,7.774698,3.227152,groupB
0.252019,4.102663,4.116099,groupA
6.566347,6.258743,7.440133,groupB
2.464241,4.395693,3.418484,groupA
6.983734,8.449721,2.050855,groupB
0.146916,3.214981,5.274514,groupB
1.896088,9.812687,9.089511,groupB
6.898184,0.779491,9.936322,groupA
7.131639,8.56039,4.718041,groupB
3.704733,0.036449,1.439365,groupA
1.325448,7.194117,4.740393,groupB
2.797144,3.626058,5.857994,groupA
8.425552,8.221548,8.147647,groupB
1.988149,1.058713,7.639494,groupA
7.841072,4.240957,9.992647,groupB
1.919669,0.709172,5.959238,groupA
1.00811,9.465631,5.437473,groupB
6.631978,0.083723,4.440377,groupA
2.500296,7.898185,4.877223,groupB
5.597169,1.690254,4.277239,groupA
6.807876,8.236518,6.14899,groupA
3.57823,1.827383,9.092911,groupA
9.475148,9.655054,1.742177,groupB
0.340943,5.764228,1.771404,groupA
8.769613,9.097453,7.289249,groupB
2.328946,1.432312,1.070037,groupA
8.370183,7.921874,0.156721,groupA
1.031278,3.010433,0.506776,groupA
5.389763,2.628645,4.217117,groupB
1.375597,6.228113,5.591188,groupA
7.612692,5.90181,4.864939,groupB
0.021044,2.504103,3.519655,groupA
4.772258,6.114327,1.83756,groupB
0.086158,6.02474,4.296787,groupA
4.164028,8.909199,8.925859,groupB
4.903409,0.565499,0.360758,groupA
7.502776,5.960752,9.09077,groupB
4.811195,0.178834,9.377145,groupA
